node,betweenness_k400,betweenness_k800,betweenness_k1600
2299,0.00048171168736213564,0.0004085099586164729,0.0003715319049877607
153,0.0011887462547364165,0.0009430038474908699,0.0013088630523322865
397,3.766802010296078e-05,3.5404571648688884e-05,2.7292739064896345e-05
5623,1.3910509649745772e-06,1.4923360272275755e-06,2.5780620308397286e-06
5875,1.6240726778459118e-05,1.513313757249658e-05,1.5150974349378599e-05
3346,1.3030812997165965e-06,9.110980091886637e-07,9.085686839195739e-07
6930,0.00028590318000749904,0.00045812912169375397,0.0004240825241237387
6367,2.9182020524456025e-05,1.916882230512006e-05,1.9582078635013587e-05
1434,2.1752156047243684e-05,2.58012716090597e-05,2.3674333727081164e-05
4470,0.0002316230303753506,0.0002139265182298651,0.000343547192849255
5122,0.0029130841972090826,0.002886153099544598,0.0030971374707142135
4790,6.536245734650784e-06,6.619681666540621e-06,6.482268241921774e-06
4919,0.00015465170382600183,0.00015100410564342957,0.00014763223026904512
575,0.0,0.0,0.0
639,6.87511381504209e-06,7.507931208071719e-06,1.4925126614209667e-05
7012,4.014527291036419e-05,5.215233079842567e-05,6.2633995306042e-05
6445,7.863481065095121e-05,9.179805797869909e-05,6.37397817122202e-05
1170,0.0007974971859783894,0.0008938877757389244,0.0010013250715173083
326,0.0001132986959156671,0.00017474752918470284,0.00015616387279616367
4956,0.002640019651880966,0.0013901951151038742,0.0007652828467153284
2639,0.0001901744258872046,0.00027452713178162033,0.0002706594172722847
5028,2.0157025527627355e-05,2.1045885125352064e-05,2.079353648559766e-05
6277,5.092546319477685e-05,5.521440614374478e-05,4.838585932514777e-05
6784,9.026977967045395e-06,9.701924521076268e-06,1.3320772226478378e-05
49,1.8309477415669437e-05,1.5729344178428496e-05,2.0390820535105874e-05
4526,0.0,0.0,0.0
4108,5.958128143291199e-06,3.544976721045944e-05,2.1457181334152878e-05
1171,0.0,0.0,0.0
2568,0.0,0.0,0.0
5731,0.0021841949117139404,0.0018838980789182428,0.0019162309154347155
1760,2.1714762565919216e-05,3.272126134404685e-05,3.615645149851885e-05
6707,0.0001544063112955206,0.00018537965986009105,0.00017134839005007846
2019,0.0003608153836491991,0.0004011020857103634,0.00038008547077215493
634,0.0,0.0,0.0
4670,0.0,0.0,0.0
2399,0.00016687560644535715,0.000138625301689353,0.00027695279589810595
5737,0.0,0.0,0.0
6974,0.0011706508245631164,0.0008785989137703439,0.0011301546586667728
6919,0.0,0.0,0.0
240,5.274271763148948e-05,5.3194878693889066e-05,5.3709045577064926e-05
5646,1.558692300616738e-05,1.8583393903154707e-05,1.2774395674019741e-05
158,5.4371962034260534e-06,1.2671502086162078e-05,3.130561720576412e-05
3298,1.3742389764388887e-05,1.3663681043310496e-05,1.5781653928245934e-05
2354,0.0004121395606385502,0.0006032378077187984,0.00044629140706370585
1161,0.00018193038456651737,0.0001810599682218436,0.00017809487539266437
1869,0.00604130106007324,0.006335495556887781,0.007747676417212105
3499,0.0013313126278181634,0.0013326654363021767,0.0011681422605308797
5655,5.079479134570843e-05,3.4899208612290785e-05,3.0614815552411617e-05
5295,0.00041151586717121585,0.000354151286307726,0.0009152690396202305
6468,0.0,0.0,0.0
3872,0.0,0.0,0.0
5676,5.526406106094237e-05,6.696157756064347e-05,0.00010943895800366762
72,2.551661283034338e-06,1.336186151053556e-06,7.070036936835409e-07
544,0.0,0.0,0.0
4228,2.79100483119664e-05,0.000188813981829289,0.00010648887759453414
2430,2.58320436808352e-05,2.4141758867526115e-05,2.2084025741035396e-05
2677,0.00023070127567045653,0.00031421939291470817,0.0004118264134906766
576,4.032280195609707e-06,2.828066008945846e-06,2.065864798639348e-06
5986,0.0008189473336033713,0.0009100672693480552,0.0006847853090467272
3707,0.00014037057832678272,0.00014037057832678272,0.00014037057832678272
809,0.0004096423701077055,0.00039689472771281515,0.0003391648027066756
593,3.420033307149617e-05,2.6939626226150024e-05,2.575231598774717e-05
2456,0.00026670640051632124,0.00015957190542070034,0.00010091815879133608
6911,2.9759522443780238e-05,1.9625984863268818e-05,1.559811548372747e-05
3362,0.0,0.0,0.0
7101,0.0,0.0,0.0
7060,8.578031790711343e-05,9.694037020896662e-05,8.886111732161912e-05
6080,0.00018307453982497409,0.000227145098899294,0.00023318723295387265
5771,0.0,0.0,0.0
5914,0.00014037057832678272,0.00014037057832678272,0.00014037057832678272
6794,5.880511670990263e-06,6.613711012355741e-06,5.93452854137963e-06
3361,4.6589888193699155e-05,2.4109841000950994e-05,1.3037561502536317e-05
3260,4.760687694985803e-05,3.3301631589896836e-05,3.700576859694218e-05
936,0.00015487167625259619,0.00015738837064885506,0.00031430870733317284
3837,0.00018807427753329408,0.0009073805543428887,0.000517804477171375
2233,9.379406309882597e-07,4.79205670163791e-07,4.865508122256534e-07
4568,0.004069957015663729,0.0033900567867012374,0.0027821375120858517
3468,0.00015144747131095416,0.0001644064010248952,0.0001673357691297048
5540,1.3978457908057498e-05,1.1168511329253741e-05,2.63970716908145e-05
6304,0.0002523571004143208,0.00029121511385892944,0.0002986058028213409
3284,1.4221389607281116e-05,1.3773125053554202e-05,1.365540984801729e-05
1376,0.00023543612976467465,0.00021971273710214673,0.0002417720587877809
4702,0.005601040037600738,0.0039741867888968795,0.0034823490780640505
6480,5.369770106527161e-05,6.0375105305076146e-05,5.4540124804707994e-05
5021,0.0,0.0,0.0
6756,0.002740036962065882,0.0017471139943359651,0.0010380570462952218
2533,0.0001346821785077288,0.00011977188359644067,0.0001296908435036342
6062,0.00014037057832678272,0.00014037057832678272,0.00014037057832678272
5956,9.809544389246151e-06,1.1294077799239203e-05,2.213926075735662e-05
5768,0.0020010750871073046,0.0041172022236980075,0.002994889969984933
1636,1.3764798927405317e-05,1.2438934676541998e-05,1.386815761063243e-05
1524,0.00023290667642524439,0.0003967932461354643,0.0004709459582670952
1385,0.0003805318783643047,0.0002048351603861395,0.00011587988246091003
