node,degree_centrality,betweenness_centrality,pagerank,degree_raw,louvain_community,participation_coefficient,z_within_degree,role
2299,0.0009824561403508772,0.0004085099586164729,0.0001228296009970262,7,16,0.5714285714285714,0.03529896973110142,Khac (Peripheral)
153,0.0026666666666666666,0.0009430038474908699,0.00023674697674696274,19,2,0.8033240997229917,1.0052239911153695,Streamer Cau noi (Bridge)
397,0.001263157894736842,3.5404571648688884e-05,0.00012175992199203355,9,5,0.19753086419753085,-0.08446315745912726,Khac (Peripheral)
5623,0.00042105263157894734,1.4923360272275755e-06,5.231709731225295e-05,3,14,0.6666666666666667,-0.5111872250074323,Streamer Cau noi (Bridge)
5875,0.0002807017543859649,1.513313757249658e-05,5.5278797693840434e-05,2,6,0.0,-0.29170288937188404,Khac (Peripheral)
3346,0.0002807017543859649,9.110980091886637e-07,4.724826918090999e-05,2,1,0.5,-0.7142676008076517,Khac (Peripheral)
6930,0.0019649122807017545,0.00045812912169375397,0.0001763328018224445,14,16,0.7755102040816326,0.03529896973110142,Streamer Cau noi (Bridge)
6367,0.00042105263157894734,1.916882230512006e-05,6.1176535954896e-05,3,4,0.6666666666666667,-0.45047486221988475,Streamer Cau noi (Bridge)
1434,0.0005614035087719298,2.58012716090597e-05,7.007901204181254e-05,4,14,0.375,-0.2539918620224932,Khac (Peripheral)
4470,0.001263157894736842,0.0002139265182298651,0.00012096620972015283,9,9,0.5185185185185186,0.14365775267111203,Khac (Peripheral)
5122,0.008982456140350877,0.002886153099544598,0.0007231629694026005,64,3,0.73046875,2.8534764761621028,Khac (Peripheral)
4790,0.0007017543859649122,6.619681666540621e-06,7.508306717066353e-05,5,1,0.31999999999999984,-0.36732359257760294,Khac (Peripheral)
4919,0.0008421052631578947,0.00015100410564342957,0.00011826174016389174,6,1,0.2777777777777777,-0.25167558983425337,Khac (Peripheral)
575,0.0002807017543859649,0.0,4.503175157053512e-05,2,9,0.0,-0.1780241547109686,Khac (Peripheral)
639,0.0011228070175438596,7.507931208071719e-06,0.0001064151934001288,8,6,0.40625,-0.00793149850255878,Khac (Peripheral)
7012,0.001263157894736842,5.215233079842567e-05,0.00014348029873678637,9,15,0.6419753086419753,0.5791998523723334,Streamer Cau noi (Bridge)
6445,0.0005614035087719298,9.179805797869909e-05,7.596467832900612e-05,4,16,0.625,-0.14312629133157528,Streamer Cau noi (Bridge)
1170,0.0032280701754385964,0.0008938877757389244,0.0003206535410232749,23,14,0.6313799621928167,0.7747895899172631,Streamer Cau noi (Bridge)
326,0.0016842105263157893,0.00017474752918470284,0.00015210626739143711,12,4,0.7916666666666667,-0.24934032964200262,Streamer Cau noi (Bridge)
4956,0.0002807017543859649,0.0013901951151038742,7.665772242522014e-05,2,1,0.0,-0.5986195980643021,Khac (Peripheral)
2639,0.0018245614035087717,0.00027452713178162033,0.0001701429752112193,13,9,0.7692307692307692,0.06323727582559185,Streamer Cau noi (Bridge)
5028,0.00042105263157894734,2.1045885125352064e-05,6.513418841186749e-05,3,9,0.4444444444444444,-0.1780241547109686,Khac (Peripheral)
6277,0.0008421052631578947,5.521440614374478e-05,9.316636404144371e-05,6,9,0.0,0.14365775267111203,Khac (Peripheral)
6784,0.0005614035087719298,9.701924521076268e-06,6.261649254500683e-05,4,9,0.75,-0.2584446315564888,Streamer Cau noi (Bridge)
49,0.0007017543859649122,1.5729344178428496e-05,9.317791303342254e-05,5,15,0.56,-0.02843616846272445,Khac (Peripheral)
4526,0.00014035087719298245,0.0,3.3802867506315046e-05,1,4,0.0,-0.45047486221988475,Khac (Peripheral)
4108,0.00042105263157894734,3.544976721045944e-05,6.114746334729269e-05,3,15,0.4444444444444444,-0.3322541788802534,Khac (Peripheral)
1171,0.00014035087719298245,0.0,3.180828511026556e-05,1,4,0.0,-0.45047486221988475,Khac (Peripheral)
2568,0.00014035087719298245,0.0,3.394113080452684e-05,1,4,0.0,-0.45047486221988475,Khac (Peripheral)
5731,0.005614035087719298,0.0018838980789182428,0.0004556365379808223,40,6,0.5149999999999999,1.4818683035613986,Khac (Peripheral)
