iteration,mature_assortativity_random,views_eta_squared_random
1,0.00039770232232888715,0.001332261338778718
2,0.003338587128799609,0.004111516991163863
3,0.002071012432784946,0.0014653556634040047
4,-0.002287736270978988,0.0021418058771199865
5,-0.003924545300071046,0.0018174180406313905
6,-0.00742802690507508,0.0024558570245933648
7,-0.0016429293700380037,0.0019285528357411358
8,-0.004500413957239647,0.001317822343101878
9,0.0027714807345378466,0.0009690972437175976
10,-0.0023098793105737277,0.002125588043864209
11,-0.0042137758313195,0.0025297090169466327
12,-0.0030050588406459995,0.0013140529085748018
13,-0.0017648226560472882,0.002387088968966233
14,-0.008182016928798126,0.0006581630399094033
15,0.0037449492329966498,0.001929625030157067
16,-0.00508796146271027,0.002220862514904909
17,-0.0011048528160058015,0.0013481704335496151
18,-0.012120048127716084,0.0025801028976360236
19,-0.0007942915368395983,0.0015677939849143194
20,0.004090747182919049,0.002481448715113719
21,-0.0006728858430302766,0.0016089327483826714
22,-0.008218746290650699,0.00176363732756258
23,-0.0028394507820448576,0.001539138212868117
24,-0.001504616881136597,0.002963006668088727
25,-0.008156959510240942,0.005116195460371373
26,-0.007788099029261229,0.0022768443984602467
27,-0.002217547258374902,0.002048305400016669
28,-0.0017507428854312151,0.004387859117272688
29,0.004453876347202359,0.0045759523380880076
30,-0.0018552363145410552,0.0017300286292835259
31,-0.0016843282552308576,0.0033057318252784026
32,-0.0012506965965562407,0.0019299706138094712
33,-0.0030009825784432344,0.00149573402652666
34,-0.00023958256047282067,0.0024937031833918923
35,-0.007088625534828767,0.0026120110059270675
36,0.0014456996976985733,0.0017567319383088923
37,0.004249892428618518,0.00172602175309972
38,-0.007893354310911677,0.002716115204483303
39,0.0008354924760520861,0.00414632033882264
40,0.0018313504702206058,0.00337532997448371
41,0.004161349234289769,0.0020425230475748742
42,0.0031087933497383462,0.002674282067486569
43,-0.008365335725195678,0.00462365324090743
44,0.0005244360544608254,0.004519350743269131
45,-0.008394703638732954,0.0016222736325090933
46,-0.0016988937885103067,0.0014551505822335655
47,-0.011123224748343928,0.0016562193906621357
48,-0.00901511616579617,0.001714204483589257
49,-0.0005236252621273579,0.001348309006881416
50,0.0024859850472356516,0.003154579492928255
51,0.0003866633748030556,0.00048433559847440135
52,0.0046980929047959336,0.0016484012684722818
53,-0.005182810126568928,0.0010385480661946615
54,-0.012049745691240454,0.0026699290293995567
55,-0.006449125818032884,0.0011610897804009786
56,-0.00463758789984278,0.0017975517990722997
57,-0.00033414386087927213,0.0021770041778564437
58,0.0014591689324054001,0.0036467900892715407
59,-0.0002120629214179532,0.0045157732143170865
60,0.0006358886581170382,0.00210638603548353
61,-0.00572548090692494,0.003426685674303194
62,0.00043386364818537163,0.001451922256498651
63,-0.0032148732339692915,0.0013964807179283514
64,-0.0040082288746743746,0.0025432838431871494
65,-0.005962384832994834,0.002153581219706865
66,0.0051554456375319385,0.001111831162468133
67,0.013653025058131629,0.002999668246599251
68,-0.002591015721606788,0.0017715742430085845
69,-0.010357476669193377,0.001614246790737179
70,-0.006312160534318341,0.0014294632215315203
71,-0.0013637231276495835,0.0025559209589367782
72,-0.0066680788149271215,0.002885637908428659
73,-0.00021932883030923543,0.001511125815378096
74,-0.010100977526488218,0.0037628582471622833
75,0.00039399372093240376,0.0017093127747756678
76,-0.0036139787596873724,0.0007898368245067584
77,0.003659135539194557,0.0021456857461904255
78,-0.0030737167387426276,0.0016117226471528726
79,-0.011570588447976666,0.0018656086347535485
80,0.0016364386558769997,0.002190092013461314
81,0.011564010886335825,0.002547041924105839
82,-0.007852546806742439,0.0018756061096821687
83,0.0014919971256176882,0.001277336041917726
84,-0.0013816344941516877,0.0013444092284405264
85,-0.004163228026793703,0.0017793857974265639
86,-0.0003147693942503699,0.002759080750756833
87,0.001904987276458193,0.0023168891365038156
88,-0.00018741381806561914,0.001881447169280903
89,0.0014284162385216573,0.0033863482039834503
90,0.002537179790642407,0.0025228129433992855
91,-0.002705341385355685,0.00226152154781978
92,0.004259112896047664,0.00311812035456231
93,0.004079941845881647,0.002026882711231782
94,0.00261578171188153,0.0012678884734426735
95,-0.0043346258561188416,0.0015234485786073126
96,-0.00039850156900239967,0.002813821612219328
97,-0.010385564118003655,0.002541698646944489
98,0.0008086470238789958,0.002816241068122327
99,-0.005210452131497511,0.001968750161855108
100,0.0017256723597348417,0.003060551896587245
